comment,label
"Mọi người cho em hỏi lớp thầy Hiệp kiểm tra giữa kỳ theo nhóm hay cá nhân ạ?",0
"Em pass bomber sz M, còn mới ạ, bạn nào cần ib nha!",1
"Có ai học lại môn XSTK với cô Mai k, cho em xin lịch thi với ạ 😭",0
"Mình có 1 slot học nhóm ở thư viện, ai cần học cùng ib nhé.",0
"ib zalo mình 0987444222 để nhận tài liệu ôn thi nhé",1
"Áo thể dục size L 100k pass nhanh ạ!",1
"Anh chị cho em hỏi làm sao để reset mật khẩu qldt ạ 😢",0
"bạn nào muốn học thêm C++ cơ bản thì ib mình, mình kèm free",0
"bán máy tính dell i5 gen8, giá sinh viên, liên hệ 0399221188",1
"Mn ơi câu hỏi giữa kỳ thầy Long ra theo slide hay bài tập vậy ạ?",0
"Cần tìm bạn nữ ở ghép trọ Mộ Lao, phòng 2tr5, có nóng lạnh đầy đủ",1
"Thầy Hùng hôm nay có điểm danh không mn 😭",0
"ai có đề cũ môn DSA thầy Cường share em với ạ",0
"Pass áo khoác bomber 250k, như mới, ib fb mình nhé",1
"Nhóm mình đang học chung môn mạng máy tính, ai muốn join thì cmt nha",0
"mình pass đôi giày trắng còn mới, giá 150k, ib ngay nhé",1
"em hỏi xíu ạ, kỳ này trường có học online môn nào không ạ?",0
"Zalo mình 0375540022 nha mn",1
"bạn nào muốn ôn IOT thầy Thắng cùng thì ib mình nhen :3",0
"combo áo đồng phục + sổ tay sv ptit 350k ib",1
"ai có tài liệu thực hành Python gửi em với ạ 😭",0
"Mình hướng nội nên cần bạn học cùng buổi tối ở Tiny Cafe, ai rảnh join nha",0
"bạn nào pass bàn học 1m2 1m4 ib mình nha",1
"em thấy có nhiều bạn bị trừ điểm danh vì quên checkin slink, mn cẩn thận nha 😅",0
"Pass áo polo PTIT sz M 100k ib ngay",1
"ai có đề kiểm tra giữa kỳ Lập trình C năm ngoái share em với ạ",0
"mình có pass sách giáo trình CNPM, bạn nào cần thì cmt nha",0
"mình pass laptop cũ 5tr, i5 gen7, ib mình nhé",1
"mn ơi trường có tổ chức open day năm nay k ạ?",0
"mình cần tìm người dạy kèm Python cơ bản, ib nếu bạn rảnh nhé",0
"Pass quần thể dục + áo thể dục 200k combo ib",1
"em muốn hỏi về cách làm project web môn CNPM ạ",0
"zalo mình 0965441233 để trao đổi nhanh nha",1
"ai có kinh nghiệm thi lại môn toán rời rạc cho em xin ít tips với ạ 😭",0
"Pass áo hoodie PTIT 150k new tag, ib nhận liền",1
"mn học lớp thầy Thái tối thứ 3 có điểm danh ko ạ?",0
"bán tài khoản Netflix premium 30k/tháng ib",1
"em muốn hỏi về cách đăng ký học cải thiện trên qldt ạ",0
"mình đang gom nhóm làm đồ án AI, bạn nào cùng môn thì join nha",0
"bán áo khoác đồng phục PTIT 200k, ib zalo 0906652211",1
"anh chị cho em hỏi điểm rèn luyện xem ở đâu trên portal ạ",0
"pass áo sơ mi trắng 70k, còn mới ạ",1
vcl drama,1
roll được 5v3* à ngonn đét :)),1
xin lửa,1
@fan cứng,1
"THỰC TẬP SINH PART-TIME – CƠ HỘI VIỆC LÀM CHO GENZ Vị trí: Thực tập sinh CSKH Thu nhập: 3–6tr/tháng + thưởng hấp dẫn Lịch làm linh hoạt (theo tuần): • Ca sáng: 9h – 12h • Ca chiều: 15h30 – 18h30 • Ca tối: 18h – 21h Lợi ích bạn nhận được: • Tự chọn ca – không lo trùng lịch học • Cơ hội rèn kỹ năng mềm: giao tiếp, quản lý thời gian, tư duy • Được làm việc trong môi trường năng lượng GenZ Có giấy xác nhận thực tập chuẩn chỉnh Hà Đông (Văn Quán hoặc Quang Trung) Liên hệ ngay: 0336169059 (Đoàn Thịnh) Ưu tiên các bạn sinh viên 2k6 – 2k7",1
"[Hà Đông] Chị đang tìm kiếm 5 bạn thực tập sinh (2k5 - 2k7) làm part-time văn phòng. Hỗ trợ xoay ca linh hoạt Không yêu cầu kinh nghiệm Lương thưởng, chế độ đãi ngộ hấp dẫn Quan tâm inbox c nhaaa",1
mở combat,1
:))))) các anh chị var ác thế,1
Việt Phùng 11 có phải là clb t đang nghĩ ko,1
Chấm Jolie Phương Nguyễn Đức Nguyễn Đ.Khoa,1
Haf Châu LeAnh Thu Lâm Thị Xuân quá đả rồi,1
Vũ Quang Huy ai muốn mua áo đmmalibu ib anh này,1
Đỗ Quang Tuấn Trung Lê nhớ 2 bé đào của anh quá,1
Xin vía,1
Chừa nhé. Xuống 0.5 :)),1
phải chịuuu đừng có kêu,1
;)) cay thí,1
phải chịuuu,1
Chịu con vợ,1
0 nổi 10 chìm,1
chấm chấm,1
Pham Truong Phuoc chấm,1
Mình để bé này ở đây nào chạy dl xong mình quay lại hóng ạ,1
Sơn Hoàng tôi xích nhờ con gâu ở đây tí về nó ú a ú ớ với tôi,1
E để con chuột của e ở đây canh ạ,1
gửi em này ở lại hóng,1
hóng,1
xin lửa với mng,1
Hóng ngay,1
*Đã giữ chỗ cbi hóng liền,1
Hú hú khẹc khẹc,1
ai chăn rau cấp 2 à,1
Hóng ạ,1
vụ jv ... xin lửa,1
Chấm có j hot like ạ,1
Em để tạm đôi dép đừng ai lấy nhé,1
Xin tý lửa mn ơi,1
xin lửa ah,1
Tôi để con ếch ở đây có biến j nhớ vỗ nó để tôi quay lại,1
để con mồn ở đây hóng,1
wo wo wo,1
xin ti lua cac bac oi,1
Phạm Hoàng lót dép hóng đi rồi kể tớ nghe,1
hú hú khẹc khẹc,1
Nam Anh xin link,1
Sắp mùa đông rồi ai cho tôi xin tý lửa,1
"hú hú, tôi bị ngu",1
Vl tk chăn gay ch có hồi kết ag,1
PHẢI CHỊUUUU ĐỪNG CÓ KÊU,1
Tôi bị ngu,1
xin ít lửa mn ơi,1
;-;? Ờm tôi tối cổ,1
tôi bị ngu,1
Dạ em để mèo huy forum ở đây hóng ạ. Ai biết vụ gì kêu e với nha mấy achi đẹp trai xinh gái,1
"tôi có lửa, xin hãy ib Đinh Lê Hoàng Minh",1
lửa đâu,1
xin lửa =((,1
Hóng :)),1
gì gì!!?? tý ai bt biến gì like tớ cái nhe,1
Để ở đây nha,1
cắm mắt,1
tối cổ hóng nè,1
xin tí lửa,1
[RECAP] BIG COLLAB HAU x PTIT x ĐÔNG HỒ MỚI Talkshow “TỪ LÀNG MÁI ĐẾN THẾ GIỚI – BẢO TỒN TRANH DÂN GIAN ĐÔNG HỒ TRONG THỜI ĐẠI SỐ”… Xem thêm,1
ơ thế chịu r,1
may để tiền đá bát phở ngon hơn =))))))))))))))))))))))))))))),1
ê đọc cmt đi nè có vụ rì hot lắm :))),1
ê vô đọc cmt drama ngành t nè,1
đây b ơi đọc cmt :)),1
tag tiếp đọc lại :)),1
để 2 bạn ở đây để hóng ké =)),1
tin juan k Tran HoàngDuong,1
dua ipad day,1
đòi Dương Thiện đưa t cái đó điii,1
ê m ơi =)),1
Đại trà cho cái đt đi ạ :)),1
"Trung tâm tuyển sinh bằng lái xe Hoàng Minh hỗ trợ các bạn sinh viên tìm được nơi uy tín với giá ưu đãi nhất: Lịch thi và lịch học sẽ lưu động tất cả các ngày trong tuần để học viên lựa chọn sao cho phù hợp và thuận tiện nhất tránh lịch học của sinh viên. Đây là một đơn vị có kinh nghiệm, chuyên môn và đã cộng tác với rất nhiều trường Đại học ở TP Hà Nội. CÁC GÓI HỒ SƠ: 1. Gói hồ sơ 449k (Hỗ trợ lý thuyết và thực hành) Ngoài ra thì còn lệ phí khám sk 250k (đây là giá khám sk rẻ nhất đối với người thi bằng lái xe máy A1) và lệ phí sân thi 265k( bao gồm 60k lệ phí thi lý thuyết và 70k lệ phí thi thực hành và 135k lệ phí in bằng). TRUNG TÂM CAM KẾT KHÔNG PHÁT SINH CHI PHÍ TRONG QUÁ TRÌNH HỌC. Ngoài ra còn các dịch vụ khác: Cấp - Đổi bằng lái xe máy - Oto - Học lái xe Oto hạng B1-B2- C - Phục hồi bằng bị quá hạn - Làm Quốc Tế IAA 192 Nước Mọi vấn đề thắc mắc vui lòng liên hệ quản lí trung tâm => FB người quản lí admin để ở dưới comment Địa chỉ văn phòng: 139 Xuân Thủy Cầu Giấy Hà Nội Hotline trung tâm: 0366009124 Zalo trung tâm: 0366009124 Hiện nay page chỉ CỘNG TÁC DUY NHẤT với đơn vị tiếp nhận hồ sơ Hoàng Minh. Các bạn hết sức cảnh giác với những thông tin lạ, không chính thống của các đơn vị làm thi giấy phép lái xe khác.",1
Ib để được tư vấn https://www.facebook.com/thuhuyenblxhn,1
Điền link để được hỗ trợ nhé https://docs.google.com/.../1FAIpQLSeZ.../viewform...,1
"Uy tín thật nha mí em, seeding làm",1
Liên hệ chị để tìm phòng nhé 0378117207,1
Các bạn nữ nào đam mê thể thao mạo hiểm có thể rep cmt tớ để được tham gia hadongopen vào đêm mỗi ngày nhé,1
"ib em gái Phan Trọng Trung nhé cuteo, thích được dựa dẫm các b nam",1
Em chết mẹ đi,1
"M cút, để t, cho xink link fb ẻm",1
Bạn đưa in4 bạn đó đây để ae chúng tôi chăm sóc với đền lỗi hộ bạn,1
replay bài Anh Là Th Tồi 10.000 lần để tự sám hối nha bạn!,1
t pass 30k áo 50k cả bộ nhe,1
ib ạ:v,1
cho t stk vứi,1
ib zl giúp mình với 0965216716,1
pass ké mặc 2l,1
ib em với,1
ib e với ạ,1
xin giá all,1
Mình có pass áo bomber chưa mặc lần nào chx bóc luôn,1
Mình pass size XL nhé,1
Ib b chos ngộ bán rẻ cho,1
Nguyen PhuongLinh bạn chứ ib bạn này trùm sờ ta đy đết,1
em TM02 D25 anh muốn có thể để lại zalo em ib ạ,1
"Kết Bạn 0.373.061.204 A hỗ trợ , giá hssv , bao check kiến thức , đảm bảo chất lượng tiến độ !",1
vụ j hot=)))))))),1
"Tuyển mẫu xăm handpoke flash hoặc hình khác, phụ phí kim mực giá yêu thương",1
Mình nhận cài Office 365 và 2019 từ Microsoft nếu bạn cần thì liên hệ mình nhé!,1
ib mình có nhé,1
mình pass mới ạ,1
Mình có áo bomber size 2XL new seal cần bán nhé.,1
Ai pass áo khoác size xl hoặc 2xl ib em vs ạ,1
"pass sz L, chưa xỏ tay lần nào",1
Em là nam muốn mua áo thể dục cỡ M.Mọi người có ai pass lại không ạ??,1
ib tui nha shop 90k,1
Bạn chơi valorant là move on đc nhé. Khó quá thì duo với mình cho dễ,1
Cuối tuần lên phím cho anh em,1
"Ib, cách ptit 700m chia ra 1tr2-1tr5/ng",1
Ib tui,1
Ib nhe,1
;)))) trước cứ tưởng joke cho đến khi mình bị hỏi thế thật,1
Vẫn rảnh mà =))),1
thread city mà tin làm đ gì b:)),1
Bài này lên 300 like thì up đề dần để tham khảo nhé,1
cho mk xin với ạ,1
Em với ạ,1
kìa chuẩn bị lấy đề,1
Em xin với ạ,1
em xin voi ạ,1
Cho em xin với ạ,1
Page sẽ up lên album nên mn cứ bình tĩnh nha,1
Cho e xin,1
Cho e xin với ạ,1
cho em xin với ạ,1
Sốp ơi em xin đề,1
cho e xin với ạ,1
"Ib, mới mặc 1,2 lần pass rẻ ạ",1
ib Vũ Tiến Dũng để dạy b nhé,1
ib dạy cho,1
ib anh này nhé,1
Bn ib mình mình muốn đổi sang L,1
0869056822 ib nhé,1
Việt Hải đã ib ạ,1
ib mình đi b,1
Ib r bn,1
Long Phạm t ib bn r đấy,1
ib mình b nha,1
ib mình,1
"Nếu chia đc thì đã quét xong lâu rồi,nhiều người vẫn cố bật app lên quét trong khi ko phải lượt của mình,nhiều người thì gọi video cho mấy chục đứa ở nhà quét",1
Bạn nào cần mk pass,1
mình pass dptd khoác gió ạ,1
Có ai pass lại áo thể dục và polo size xl ko ạ,1
có ai pass áo bomber sz M thì để lại thông tin bên dưới e liên lạc ạ,1
"mình pass phòng 3tr2 ở mộ lao cách ptit 300m, vskk, kh chung chủ, có bếp riêng, điều hoà, nóng lạnh,...có thể vào ở cuối tháng này.",1
b check tn mình,1
Ib mình ạ,1
còn thì ib t vs ạ,1
còn kh ib,1
còn k bạn,1
để ngâm rượu :)),1
Ib e vs,1
pass ké áo khoác vs áo thể 100k,1
Để lại sđt em ib mua bộ thể dục ạ,1
Kệ t đi làm web tài xỉu,1
"Trader b , ngày 1 lệnh kiếm 2 tỷ chỉ 1p",1
streamer nhe,1
lập trình nhúng ptit giống cái ông SBCB 5Van cũng chỉ ở nhà bốc phét thôi,1
Ib mình nhá,1
"các ""bạn gái"" này ch có bồ nên ai thích thì hốt dần đi nhé",1
Người tham gia ẩn danh 589 ib Hoàii Thanhh nhé,1
Mình đang có áo thể dục size xl (new 100%) chưa bóc cả túi luôn,1
"Linh Linh bạn có muốn pass không , mình ib bạn nhé",1
"Cần tìm 1ng, đã có 2 ng p 3tr2",1
ib mình nhé,1
pass áo Bomber Ptit size M chưa sd 70k,1
Ib cho mình ạ,1
Ké 3XL chưa mặc 100k,1
"Còn k để mình ,mình trả cao hơn",1
"Ké mua áo size XL, chưa mặc càng tốt",1
Ai muốn đổi áo thể với áo polo size M lên size L không ạ?,1
pass ké áo td,1
Cần đổi áo bomber size S -> size M ạ. Ai có nhu cầu rep mình ib cho,1
có ai pass áo khoác Xl k nhỉ,1
Ai muốn đổi quần thể từ 7-8 k ạ,1
Pass rẻ thế,1
ai có size L pass tui nhé :))),1
Ké mua áo size M ạ,1
"Linh Trần v ò b nhỉ , 100k là ngon r",1
"Cần đổi áo XL sang L, có ai ko ạ (áo mình chưa mặc lần nào)",1
Ke tìm áo size L :))),1
Má năm ngoái pass 180k còn thấy rẻ Năm nay thế này hỏng :))),1
e nào pass áo khoác size L không,1
ké size L 179k ship quanh HN zalo 0949868325,1
kiếm áo đp ptit thường size 4xl,1
"Ké, cần đổi từ áo 2XL sang XL ạ( áo chưa mặc lần nào)",1
mn ơi ai có áo này size M hoặc L mà k mặc thì pass lại cho e với ạ,1
"E pass ké áo bomber sz M chưa mặc lần nào, giá cả thương lượng ạ",1
"Ib tui nha bác, mới nguyên",1
tìm ké ạ,1
Áo td có đổi size hay mua thêm dc ko mng,1
Bạn nào muốn đổi quần số 7 lên quần số 8 không ạ?,1
"Góc tìm kiếm Mình là nam có trọ ngay phía sau trường mình cần tìm roomate ạ , ở 2 chia ra mỗi người tầm 1m6 thôi ạ , phòng đã full đồ đạc",1
xin zl b,1
Nguyễn Đức Duy ib bạn này ạ!,1
Bạn gửi link fb hoặc zalo đi,1
Thèm thế three some đc k b,1
Shop ơi có mẫu này size 38 không ạ? Dr cho mình xin giá với nhé.,0
"Nhận pass lại giáo trình Kinh tế vĩ mô, sách còn mới 99% chưa ghi chép gì. Giá 50k, ai cần ib.",1
Clb guitar tuần này có buổi sinh hoạt không ad ơi?,0
"BẠN CÓ MUỐN KIẾM 300K MỖI NGÀY? Chỉ cần điện thoại và thời gian rảnh. Công việc đơn giản, không vốn, không lừa đảo. Liên hệ Zalo: 09xxyyzz",1
Vcl quả drama mới. Con bé A cặp với thầy B á? Hóng link.,0
Cần tìm người học chung Ielts mục tiêu 7.0. Mình ở khu vực Cầu Giấy.,0
"Thanh lý toàn bộ đồ dùng sinh viên: bàn học, giá sách, nồi cơm điện. Đồng giá 100k. Mình sắp ra trường nên pass rẻ.",1
Mấy đứa ơi có ai biết pass wifi thư viện là gì không?,0
"Bên mình chuyên nhận làm assignment, thesis, đảm bảo qua môn, điểm cao. Uy tín, bảo mật info.",1
Nói thật học ngành này ra trường không biết làm gì luôn á.,0
Sao quả ảnh này nhìn như pts thế nhỉ?,0
🔥 XẢ KHO CUỐI NĂM - LAPTOP GAMING GIẢM SỐC 50% 🔥 FREESHIP TOÀN QUỐC. Check ngay tại link bio!,1
"Thầy dạy môn này chán vcl, buồn ngủ chết đi được.",0
Có ai biết chỗ nào ăn buffet lẩu nướng ngon bổ rẻ cho sv không?,0
Bạn nào rớt môn GDTC thì về đội của mình :)),0
"Tuyển 10 bạn nữ làm PG cho sự kiện, ngoại hình ưa nhìn, cao >1m65. Lương 700k/ngày.",1
"Đm quả mạng ktx như cc, load mãi ko xong.",0
Ai có info bạn nam mặc áo hoodie đen ngồi bàn đầu lớp Triết sáng nay không?,0
"Chỉ 1 liệu trình, da trắng bật tông, mờ thâm nám. Cam kết hoàn tiền nếu không hiệu quả. Ib để được tư vấn.",1
